codespace;code;name;info;
auth;1;AUTH_CREATE_TOKEN_ERROR;token creation error;
auth;2;AUTH_VERIFY_TOKEN_ERROR;token verification error;
auth;3;AUTH_REMOVE_TOKEN_ERROR;token removing error;
auth;101;AUTH_INVALID_TOKEN_FORMAT;token does not match expected format;
auth;102;AUTH_INVALID_SIGNING_METHOD;token is not signed with Ed25519 key;
auth;103;AUTH_NOT_ED25519_PUB_KEY;public key is not of type Ed25519;
auth;104;AUTH_LOADING_KEY_ERROR;loading key error;
auth;105;AUTH_ENCODE_PASS_ERROR;password encoding error;
auth;201;AUTH_PASSWORD_WRONG;wrong password;
auth;202;AUTH_PASSWORD_TOO_SHORT;password too short;
auth;203;AUTH_PASSWORD_NO_DIGIT;password has no digits;
auth;204;AUTH_PASSWORD_NO_LETTER;password has no letters;
auth;205;AUTH_PASSWORD_NO_LOWERCASE;password has no lowercase letters;
auth;206;AUTH_PASSWORD_NO_UPPERCASE;password has no uppercase letters;
auth;207;AUTH_PASSWORD_NO_SPECIAL_CHAR;password has no special characters;
base_api;1;API_UNAUTHORIZED;unauthorized;
base_api;2;API_NO_AUTORIZATION_HEADER;'Authorization' header absent;
base_api;3;API_AUTORIZATION_HEADER_INVALID;authorization header value is invalid;
base_api;4;API_INVALID_REQUEST_BODY;invalid request body;
base_api;5;API_INVALID_REQUEST_PARAM;invalid request param;
base_api;6;SESSION_GONE;session no longer exists;
base_app_error;1;APP_ERROR_MARSHAL_ERROR;app error marshal error;
base_app_error;2;APP_ERROR_UNMARSHAL_ERROR;app error unmarshal error;
base_auth;101;AUTH_INVALID_TOKEN;token is invalid;
base_auth;102;AUTH_ACCESS_DANIED;access danied;
base_htpp;1;HTTP_HANDLER_METHOD_INVALID_ERROR;http handler method invalid;
base_htpp;2;HTTP_RESPONSE_POST_PROCESSING_ERROR;http response post processing error;
base_persistence;1;PERSITENCE_FIND_ERROR;find entity error;
base_persistence;2;PERSITENCE_CREATE_ERROR;create entity error;
base_persistence;3;PERSITENCE_UPDATE_ERROR;update entity error;
base_persistence;4;PERSITENCE_DELETE_ERROR;delete entity error;
base_persistence;101;PERSISTENCE_ERROR;persistence error;
base_persistence;102;PERSITENCE_RESOURCE_NOT_FOUND;entity not found;
base_persistence;103;PERSITENCE_RESOURCE_TOO_MANY;too many entities found;
base_persistence;104;PERSITENCE_COMMIT_ERROR;cannot commit data;
base_persistence;105;PERSITENCE_ROLLBACK_ERROR;cannot rollback changes;
cache;1;CACHE_CONNECTION_ERROR;cache repository connection error;
cache;2;CACHE_SET_ERROR;cache set error;
cache;3;CACHE_DELETE_ERROR;cache remove key error;
cache;4;CACHE_KEY_NOT_FOUND_ERROR;cache key not found;
cache;5;CACHE_UNMARSHALLING_ERROR;cache unmarshalling cached data error;
loginservice;1001;FK_USER_IDENTITY_IDENTIFIER_USER_IDENTITY;Foreign key constraint error on user identity identifier to user identity;
loginservice;1002;USER_IDENTITY_IDENTIFIER_UNIQUE_IDENTIFIER;Unique constraint error on user identity identifier;
loginservice;1003;LOGIN_FK_USER_IDENTITY;Foreign key constraint error on login to user identity;
loginservice;1004;LOGIN_UNIQUE_LOGIN;Unique constraint error on login;
loginservice;1005;RESOURCE_FK_LOGIN;Foreign key constraint error on resource to login;
notifier;1;NOTIFIER_CONNECTION_ERROR;notifier connection error;
notifier;2;NOTIFIER_MARSHALLING_ERROR;notifier marshalling error;
notifier;3;NOTIFIER_PUBLISHING_ERROR;notifier publishing error;
notifier;4;NOTIFIER_EMAIL_CREATION_FAILED;cannot create email body;
service;101;BAD_USER;bad user;
service;102;SERVICE_LOGIN_BAD_WALLET_TYPE;login bad wallet type;
service;103;ENCODING_ERROR;encoding error;
service;2001;SERVICE_LOGIN_FAILED;login failed;
service;2002;SERVICE_PASSWORD_RECOVERY_TIME_EXPIRED;password recovery time expired;
service;2003;SERVICE_NEW_PASSWORD_EQUALS_OLD_ONE;new password cannot be equal to old one;
service;2004;SERVICE_PASSWORD_RECOVERY_SESSION_ALREADY_EXISTS;password recovery session already exists;
service;3001;SERVICE_ACCOUNT_ALREADY_EXISTS;account already exists;
service;3002;SERVICE_ACCOUNT_INACTIVE;user account not activated;
service;3003;SERVICE_ACCOUNT_ACTIVATION_TIME_EXPIRED;account activation time expired;
service;3004;SERVICE_EMAIL_CREATION_FAILED;account cannot create email body;
signature;1;SIGNATURE_GENERAL_ERROR;signature error;
signature;2;SIGNATURE_BODY_MARSHALLING_ERROR;message body marshalling error;
signature;3;SIGNATURE_BODY_UNMARSHALLING_ERROR;message body unmarshalling error;
signature;4;SIGNATURE_COMMUNICATION_ERROR;signature communication error;
signature;5;SIGNATURE_WRONG_SIGING_DATA;signed data is wrong;
